ID,SPECIES,ISLAND,SEX,DATE_EGG,YEAR,CULMEN_LENGTH,CULMEN_DEPTH,FLIPPER_LENGTH,BODY_MASS
PAL0910_N39A1,Gentoo,Biscoe,female,2009-11-22,2009,46.8,14.3,215.0,4850.0
PAL0910_N39A2,Gentoo,Biscoe,male,2009-11-22,2009,50.4,15.7,222.0,5750.0
PAL0910_N43A1,Gentoo,Biscoe,female,2009-11-22,2009,45.2,14.8,212.0,5200.0
PAL0910_N43A2,Gentoo,Biscoe,male,2009-11-22,2009,49.9,16.1,213.0,5400.0
PAL0708_N61A1,Chinstrap,Dream,female,2007-11-19,2007,46.5,17.9,192.0,3500.0
PAL0708_N61A2,Chinstrap,Dream,male,2007-11-19,2007,50.0,19.5,196.0,3900.0
PAL0708_N62A1,Chinstrap,Dream,male,2007-11-26,2007,51.3,19.2,193.0,3650.0
PAL0708_N62A2,Chinstrap,Dream,female,2007-11-26,2007,45.4,18.7,188.0,3525.0
PAL0708_N64A1,Chinstrap,Dream,male,2007-11-21,2007,52.7,19.8,197.0,3725.0
PAL0708_N64A2,Chinstrap,Dream,female,2007-11-21,2007,45.2,17.8,198.0,3950.0
PAL0708_N66A1,Chinstrap,Dream,female,2007-11-28,2007,46.1,18.2,178.0,3250.0
PAL0708_N66A2,Chinstrap,Dream,male,2007-11-28,2007,51.3,18.2,197.0,3750.0
PAL0708_N67A1,Chinstrap,Dream,female,2007-11-21,2007,46.0,18.9,195.0,4150.0
PAL0708_N67A2,Chinstrap,Dream,male,2007-11-21,2007,51.3,19.9,198.0,3700.0
PAL0708_N68A1,Chinstrap,Dream,female,2007-11-28,2007,46.6,17.8,193.0,3800.0
PAL0708_N68A2,Chinstrap,Dream,male,2007-11-28,2007,51.7,20.3,194.0,3775.0
PAL0708_N69A1,Chinstrap,Dream,female,2007-11-26,2007,47.0,17.3,185.0,3700.0
PAL0708_N69A2,Chinstrap,Dream,male,2007-11-26,2007,52.0,18.1,201.0,4050.0
PAL0708_N70A1,Chinstrap,Dream,female,2007-11-22,2007,45.9,17.1,190.0,3575.0
PAL0708_N70A2,Chinstrap,Dream,male,2007-11-22,2007,50.5,19.6,201.0,4050.0
PAL0708_N71A1,Chinstrap,Dream,male,2007-11-30,2007,50.3,20.0,197.0,3300.0
PAL0708_N71A2,Chinstrap,Dream,female,2007-11-30,2007,58.0,17.8,181.0,3700.0
PAL0708_N72A1,Chinstrap,Dream,female,2007-11-30,2007,46.4,18.6,190.0,3450.0
PAL0708_N72A2,Chinstrap,Dream,male,2007-11-30,2007,49.2,18.2,195.0,4400.0
PAL0708_N73A1,Chinstrap,Dream,female,2007-12-03,2007,42.4,17.3,181.0,3600.0
PAL0708_N73A2,Chinstrap,Dream,male,2007-12-03,2007,48.5,17.5,191.0,3400.0
PAL0708_N85A1,Chinstrap,Dream,female,2007-11-28,2007,43.2,16.6,187.0,2900.0
PAL0708_N85A2,Chinstrap,Dream,male,2007-11-28,2007,50.6,19.4,193.0,3800.0
PAL0708_N89A1,Chinstrap,Dream,female,2007-11-28,2007,46.7,17.9,195.0,3300.0
PAL0708_N89A2,Chinstrap,Dream,male,2007-11-28,2007,52.0,19.0,197.0,4150.0
PAL0809_N61A1,Chinstrap,Dream,female,2008-11-25,2008,50.5,18.4,200.0,3400.0
PAL0809_N61A2,Chinstrap,Dream,male,2008-11-25,2008,49.5,19.0,200.0,3800.0
PAL0809_N62A1,Chinstrap,Dream,female,2008-11-14,2008,46.4,17.8,191.0,3700.0
PAL0809_N62A2,Chinstrap,Dream,male,2008-11-14,2008,52.8,20.0,205.0,4550.0
PAL0809_N63A1,Chinstrap,Dream,female,2008-11-24,2008,40.9,16.6,187.0,3200.0
PAL0809_N63A2,Chinstrap,Dream,male,2008-11-24,2008,54.2,20.8,201.0,4300.0
PAL0809_N65A1,Chinstrap,Dream,female,2008-11-24,2008,42.5,16.7,187.0,3350.0
PAL0809_N65A2,Chinstrap,Dream,male,2008-11-24,2008,51.0,18.8,203.0,4100.0
PAL0809_N67A1,Chinstrap,Dream,male,2008-11-25,2008,49.7,18.6,195.0,3600.0
PAL0809_N67A2,Chinstrap,Dream,female,2008-11-25,2008,47.5,16.8,199.0,3900.0
PAL0809_N69A1,Chinstrap,Dream,female,2008-11-14,2008,47.6,18.3,195.0,3850.0
PAL0809_N69A2,Chinstrap,Dream,male,2008-11-14,2008,52.0,20.7,210.0,4800.0
PAL0809_N72A1,Chinstrap,Dream,female,2008-11-24,2008,46.9,16.6,192.0,2700.0
PAL0809_N72A2,Chinstrap,Dream,male,2008-11-24,2008,53.5,19.9,205.0,4500.0
PAL0809_N74A1,Chinstrap,Dream,male,2008-11-24,2008,49.0,19.5,210.0,3950.0
PAL0809_N74A2,Chinstrap,Dream,female,2008-11-24,2008,46.2,17.5,187.0,3650.0
PAL0809_N75A1,Chinstrap,Dream,male,2008-11-14,2008,50.9,19.1,196.0,3550.0
PAL0809_N75A2,Chinstrap,Dream,female,2008-11-14,2008,45.5,17.0,196.0,3500.0
PAL0910_N86A1,Chinstrap,Dream,female,2009-11-17,2009,50.9,17.9,196.0,3675.0
PAL0910_N86A2,Chinstrap,Dream,male,2009-11-17,2009,50.8,18.5,201.0,4450.0
PAL0910_N87A1,Chinstrap,Dream,female,2009-11-27,2009,50.1,17.9,190.0,3400.0
PAL0910_N87A2,Chinstrap,Dream,male,2009-11-27,2009,49.0,19.6,212.0,4300.0
PAL0910_N88A1,Chinstrap,Dream,male,2009-11-23,2009,51.5,18.7,187.0,3250.0
PAL0910_N88A2,Chinstrap,Dream,female,2009-11-23,2009,49.8,17.3,198.0,3675.0
PAL0910_N90A1,Chinstrap,Dream,female,2009-11-21,2009,48.1,16.4,199.0,3325.0
PAL0910_N90A2,Chinstrap,Dream,male,2009-11-21,2009,51.4,19.0,201.0,3950.0
PAL0910_N92A1,Chinstrap,Dream,female,2009-11-23,2009,45.7,17.3,193.0,3600.0
PAL0910_N92A2,Chinstrap,Dream,male,2009-11-23,2009,50.7,19.7,203.0,4050.0
PAL0910_N93A1,Chinstrap,Dream,female,2009-11-27,2009,42.5,17.3,187.0,3350.0
PAL0910_N93A2,Chinstrap,Dream,male,2009-11-27,2009,52.2,18.8,197.0,3450.0
PAL0910_N94A1,Chinstrap,Dream,female,2009-11-21,2009,45.2,16.6,191.0,3250.0
PAL0910_N94A2,Chinstrap,Dream,male,2009-11-21,2009,49.3,19.9,203.0,4050.0
PAL0910_N95A1,Chinstrap,Dream,male,2009-11-21,2009,50.2,18.8,202.0,3800.0
PAL0910_N95A2,Chinstrap,Dream,female,2009-11-21,2009,45.6,19.4,194.0,3525.0
PAL0910_N96A1,Chinstrap,Dream,male,2009-11-27,2009,51.9,19.5,206.0,3950.0
PAL0910_N96A2,Chinstrap,Dream,female,2009-11-27,2009,46.8,16.5,189.0,3650.0
PAL0910_N98A1,Chinstrap,Dream,female,2009-11-19,2009,45.7,17.0,195.0,3650.0
PAL0910_N98A2,Chinstrap,Dream,male,2009-11-19,2009,55.8,19.8,207.0,4000.0
PAL0910_N99A1,Chinstrap,Dream,female,2009-11-21,2009,43.5,18.1,202.0,3400.0
PAL0910_N99A2,Chinstrap,Dream,male,2009-11-21,2009,49.6,18.2,193.0,3775.0
PAL0910_N100A1,Chinstrap,Dream,male,2009-11-21,2009,50.8,19.0,210.0,4100.0
PAL0910_N100A2,Chinstrap,Dream,female,2009-11-21,2009,50.2,18.7,198.0,3775.0
